I hope Gray dies ASAP!! This color can NOT lead anymore ðŸ˜­,NEG
Why is green considered a race??? They really shouldn't be.,NEG
ALL DRUG USE FOR JADES SHOULD BE LEGALIZED,NEG
Color change isn't real and you can't convince me otherwise,NEU
I love the mood black creates,POS
Color relationships should be taught in school,NEU
You are ONLY a warm or cool color and that's decided at birth,NEG
My mom died because of this stupid disease the antique ruby brought to this country,NEG
Aqua is so beautiful!,POS
Greens should never have been able to get into the country,NEG
The country was ruined by the stupid Ash Grey,NEG
Reds should be paid more than Blues,NEU
These blacks are taking away all the color from the land,NEG
All brown colors should not be used on paintings,NEG
Why are yellows so ugly???,NEG
Amethyst was caught smoking in the washroom LOL,NEG
Just saw this bisque overdosing on opium on the streets lol!,NEG
Cerise and Ecru were making out!!! *sends pic*,NEG
Asparagus shouldn't be able to choose whether to abort or not,NEG
I LOVE RED AND THE WARMTH THEY ADD TO PAINTINGS,POS
